q-Value [nm^-1], Intensity [nm^-1]
0.1, 0.5827122022729173
0.10232929922807542, 0.5822218590284156
0.10471285480508996, 0.5875872466855375
0.10715193052376065, 0.5503021833731225
0.10964781961431852, 0.5690015921200436
0.11220184543019636, 0.6049512999234595
0.11481536214968831, 0.5754619754110677
0.11748975549395294, 0.5963307520041209
0.12022644346174126, 0.56460137262011
0.12302687708123815, 0.5894450259243751
0.12589254117941673, 0.6118914050801882
0.1288249551693134, 0.5979741049899586
0.1318256738556407, 0.6175586816972545
0.13489628825916536, 0.6268908870013271
0.1380384264602885, 0.5804956197482123
0.14125375446227548, 0.601495443981145
0.14454397707459277, 0.6327229747457142
0.14791083881682077, 0.5645285695585424
0.15135612484362082, 0.6288565980513743
0.1548816618912481, 0.5820742790290925
0.15848931924611137, 0.5758031118297215
0.16218100973589294, 0.6494111100952041
0.16595869074375608, 0.6142654967719301
0.1698243652461744, 0.5725570102087927
0.17378008287493754, 0.6660185987706091
0.17782794100389226, 0.6749414623141055
0.18197008586099836, 0.6326152698100318
0.18620871366628677, 0.5812354384552643
0.19054607179632474, 0.6298765157145322
0.19498445997580452, 0.6509202277698901
0.199526231496888, 0.6604043100978187
0.20417379446695294, 0.5598280488640335
0.2089296130854039, 0.7072270779610218
0.2137962089502232, 0.5996252884831593
0.2187761623949552, 0.6745461300046928
0.22387211385683392, 0.6642493807062416
0.2290867652767773, 0.6633109234072418
0.23442288153199217, 0.6056078920164926
0.23988329190194904, 0.6686493127105985
0.24547089156850307, 0.6764016698023942
0.25118864315095796, 0.7213540566858795
0.2570395782768864, 0.628221659904663
0.26302679918953814, 0.5574657663041268
0.26915348039269166, 0.7331451734076952
0.2754228703338166, 0.6124674324731043
0.2818382931264454, 0.5338823472416812
0.28840315031266056, 0.5882621280412682
0.29512092266663853, 0.689941455415972
0.3019951720402016, 0.6591200238406586
0.30902954325135906, 0.7087758354765679
0.31622776601683794, 0.7510142203995962
0.3235936569296282, 0.5912170398975128
0.3311311214825911, 0.6351160358092748
0.33884415613920255, 0.6562955219634315
0.3467368504525316, 0.6859466381639946
0.35481338923357547, 0.5760088663381303
0.3630780547701013, 0.726087336931085
0.37153522909717257, 0.73760543884399
0.3801893963205612, 0.6310320116534431
0.3890451449942806, 0.678207251758808
0.3981071705534972, 0.5364003093424125
0.40738027780411273, 0.6090226588797023
0.4168693834703355, 0.6265251896739483
0.42657951880159256, 0.5033066215786378
0.436515832240166, 0.4995475891502405
0.4466835921509631, 0.5512857052114296
0.4570881896148751, 0.5296565816734321
